Name    Number   BeamID   E          N          U

Tile011        0        0  -149.7850   265.8140   377.0110
Tile012        1        0   -95.3650   270.1880   377.2850
Tile013        2        0   -88.5120   266.0210   377.3090
Tile014        3        0   -78.6980   258.4310   377.2910
Tile015        4        0   -86.9400   248.4520   377.3390
Tile016        5        0  -102.3250   244.0880   377.2580
Tile017        6        0   -93.3460   242.2790   377.2700
Tile018        7        0  -148.3300   220.2710   377.2140
Tile021        8        0  -132.9390   282.6110   377.0020
Tile022        9        0  -139.8670   275.4980   377.0180
Tile023       10        0  -123.6670   284.8540   377.0500
Tile024       11        0   -92.8890   281.3580   377.2540
Tile025       12        0   -77.8350   282.8390   377.2530
Tile026       13        0   -83.4760   277.5630   377.3000
Tile027       14        0   -76.9880   272.6370   377.2980
Tile028       15        0  -176.0060   289.9030   376.6230
Tile031       16        0   -23.6200   201.5460   376.8050
Tile032       17        0   -23.8020   222.3530   376.8720
Tile033       18        0   -40.4890   235.1700   376.9610
Tile034       19        0   -54.5270   237.5180   377.1230
Tile035       20        0   -64.8510   250.8130   377.2390
Tile036       21        0   -70.0750   259.4020   377.2660
Tile037       22        0   -60.0570   263.6760   377.1800
Tile038       23        0   -50.6760   264.5460   377.1000
Tile041       24        0   -67.9900   271.1030   377.2360
Tile042       25        0   -60.0580   271.9050   377.2040
Tile043       26        0   -70.8850   278.8180   377.2520
Tile044       27        0   -45.5400   273.2450   377.0660
Tile045       28        0   -53.1560   276.2680   377.0900
Tile046       29        0   -22.6590   263.6940   376.9480
Tile047       30        0   -55.0970   284.2850   377.1810
Tile048       31        0   -14.9000   273.8700   376.9100
Tile061       32        0  -105.2810   217.1800   377.2550
Tile062       33        0   -98.5300   230.1620   377.2600
Tile063       34        0   -81.8450   229.3370   377.2700
Tile064       35        0   -79.5410   238.1280   377.2700
Tile065       36        0   -75.1200   247.0020   377.2550
Tile066       37        0   -71.0170   235.9290   377.2390
Tile067       38        0   -62.5670   228.9870   377.2100
Tile068       39        0   -50.6910   221.8850   377.0780
Tile081       40        0  -160.4650   573.2070   374.7730
Tile082       41        0  -128.0460   350.4940   376.5700
Tile083       42        0   -69.7710   294.0310   377.1920
Tile084       43        0   -78.7310   297.2590   377.1960
Tile085       44        0  -103.9410   300.9140   377.0500
Tile086       45        0  -100.1720   288.8960   377.1570
Tile087       46        0  -395.4520   371.1520   374.5150
Tile088       47        0  -263.5470   389.2740   375.3220
Tile091       48        0   326.1410   203.6080   373.9450
Tile092       49        0   173.4250   193.5950   375.0320
Tile093       50        0    -2.5150   292.8410   376.8920
Tile094       51        0   -46.5540   287.4690   377.1150
Tile095       52        0   -56.1410   295.9220   377.1560
Tile096       53        0   -33.7050   351.0480   376.9760
Tile097       54        0    50.1270   536.1590   376.1810
Tile098       55        0    84.8800   519.1410   376.3140
EDA           56        0   143.4410    27.7730   374.7800
HexE1         57        0    86.3730   284.1210   376.2500
HexE2         58        0   100.3470   284.0970   376.1800
HexE3         59        0   114.3460   284.0920   375.9100
HexE4         60        0   128.3400   284.1040   375.7700
HexE5         61        0    79.3690   271.9860   376.2400
HexE6         62        0    93.3390   271.9760   376.0700
HexE7         63        0   107.3650   271.9570   375.9500
HexE8         64        0   121.3550   271.9910   375.8300
HexE9         65        0   135.3670   271.9620   375.6500
HexE10        66        0    72.3800   259.8480   376.2400
HexE11        67        0    86.3490   259.8440   376.1000
HexE12        68        0   100.3730   259.8470   375.9600
HexE13        69        0   114.3570   259.8390   375.8200
HexE14        70        0   128.3460   259.8480   375.7000
HexE15        71        0   142.3600   259.8490   375.5000
HexE16        72        0    65.3620   247.7230   376.2300
HexE17        73        0    79.3660   247.7420   376.0800
HexE18        74        0    93.3550   247.7430   375.9400
HexE19        75        0   121.3690   247.7440   375.7200
HexE20        76        0   135.3530   247.7210   375.5900
HexE21        77        0   149.3580   247.7310   375.4100
HexE22        78        0    72.3630   235.6100   376.0900
HexE23        79        0    86.3440   235.6060   375.9700
HexE24        80        0   100.3670   235.6160   375.8500
HexE25        81        0   114.3350   235.5980   375.7400
HexE26        82        0   128.3490   235.6100   375.5600
HexE27        83        0   142.3400   235.5860   375.4400
HexE28        84        0    79.3740   223.4740   375.9900
HexE29        85        0    93.3430   223.4880   375.8700
HexE30        86        0   107.3570   223.4620   375.7700
HexE31        87        0   121.3720   223.4880   375.5700
HexE32        88        0   135.3520   223.4860   375.4800
HexE33        89        0    86.3620   211.3410   375.8800
HexE34        90        0   100.3640   211.3380   375.7500
HexE35        91        0   114.3590   211.3530   375.6000
HexE36        92        0   128.3450   211.3580   375.4800
HexS2         93        0     4.0060   158.4560   376.4100
HexS3         94        0    18.0220   158.4390   376.2600
HexS4         95        0    32.0130   158.4420   376.1400
HexS5         96        0   -17.0130   146.3090   376.5900
HexS6         97        0    -2.9850   146.3160   376.4200
HexS7         98        0    11.0220   146.3110   376.3100
HexS8         99        0    25.0020   146.3200   376.1400
HexS9        100        0    39.0140   146.3040   376.0400
HexS10       101        0   -23.9660   134.2010   376.5700
HexS11       102        0    -9.9830   134.1850   376.4200
HexS12       103        0     4.0050   134.2060   376.3000
HexS13       104        0    17.9900   134.1820   376.1500
HexS14       105        0    32.0090   134.1840   376.0500
HexS15       106        0    46.0160   134.2210   375.9200
HexS16       107        0   -30.9910   122.0750   376.6000
HexS17       108        0   -16.9890   122.0700   376.4600
HexS18       109        0    -2.9720   122.0580   376.3200
